Extension_ID,Week,Permissions_Count,Network_Requests,Cookie_Access,API_Calls,Label
ext_524,1,4,19,1,22,Normal
ext_806,1,4,14,0,28,Normal
ext_802,2,3,1,1,22,Normal
ext_225,1,4,2,0,46,Normal
ext_151,2,2,4,0,9,Normal
ext_700,1,2,10,0,43,Normal
ext_383,1,2,4,0,16,Normal
ext_776,3,2,0,0,20,Normal
ext_116,1,1,4,1,38,Normal
ext_863,1,15,448,1,192,Suspicious
ext_562,1,5,1,0,34,Normal
ext_162,4,4,13,0,36,Normal
ext_175,2,3,19,0,9,Normal
ext_381,3,5,17,0,29,Normal
ext_564,2,4,3,0,46,Normal
ext_540,4,2,13,0,34,Normal
ext_525,3,3,13,0,47,Normal
ext_483,1,4,2,0,10,Normal
ext_542,1,19,240,1,133,Suspicious
ext_700,3,5,10,0,31,Normal
ext_994,3,4,1,0,43,Normal
ext_460,4,5,6,0,47,Normal
ext_329,3,3,17,0,12,Normal
ext_687,3,4,17,0,43,Normal
ext_129,2,3,10,0,5,Normal
ext_990,1,4,2,0,45,Normal
ext_193,3,2,12,1,34,Normal
ext_261,2,3,18,0,8,Normal
ext_261,4,1,2,0,33,Normal
ext_597,1,4,8,0,37,Normal
ext_453,3,3,18,1,38,Normal
ext_146,3,5,1,0,18,Normal
ext_316,1,3,9,0,12,Normal
ext_609,2,2,4,1,39,Normal
ext_612,4,3,2,1,7,Normal
ext_119,4,1,10,1,41,Normal
ext_826,3,3,3,1,6,Normal
ext_275,4,5,14,0,10,Normal
ext_964,1,4,18,1,38,Normal
ext_505,1,3,7,0,15,Normal
ext_622,3,5,16,0,27,Normal
ext_844,3,2,7,0,14,Normal
ext_302,4,2,20,0,16,Normal
ext_575,3,5,14,0,45,Normal
ext_254,1,4,14,0,22,Normal
ext_460,1,3,14,1,7,Normal
ext_477,4,1,20,0,44,Normal
ext_573,4,1,14,0,25,Normal
ext_613,1,1,14,0,26,Normal
ext_616,2,1,7,1,33,Normal
ext_472,1,3,12,1,26,Normal
ext_908,4,3,2,0,11,Normal
ext_390,2,5,4,0,10,Normal
ext_458,4,4,4,0,24,Normal
ext_758,4,2,16,0,46,Normal
ext_620,3,3,9,0,18,Normal
ext_884,3,2,4,0,9,Normal
ext_964,3,5,17,0,47,Normal
ext_997,2,2,19,1,14,Normal
ext_285,4,5,5,1,7,Normal
ext_473,2,2,14,0,33,Normal
ext_646,4,4,6,0,48,Normal
ext_572,2,4,16,1,15,Normal
ext_920,1,3,1,1,28,Normal
ext_828,3,1,9,0,15,Normal
ext_560,4,2,13,0,19,Normal
ext_457,3,4,1,1,37,Normal
ext_341,3,1,11,0,6,Normal
ext_201,3,3,4,0,7,Normal
ext_949,1,2,15,1,44,Normal
ext_181,4,11,477,1,138,Suspicious
ext_213,2,2,9,0,8,Normal
ext_529,4,5,14,0,12,Normal
ext_711,2,5,18,0,50,Normal
ext_398,4,5,11,0,41,Normal
ext_291,1,1,16,0,9,Normal
ext_499,3,1,20,1,28,Normal
ext_865,2,20,84,1,188,Suspicious
ext_850,1,1,18,0,13,Normal
ext_460,2,2,14,1,45,Normal
ext_930,1,4,1,0,17,Normal
ext_910,4,1,10,0,37,Normal
ext_934,3,3,1,0,23,Normal
ext_982,4,3,8,0,28,Normal
ext_509,4,4,10,0,36,Normal
ext_476,1,5,8,0,32,Normal
ext_540,1,2,17,0,25,Normal
ext_181,4,3,9,1,43,Normal
ext_270,4,3,14,0,27,Normal
ext_381,2,1,2,1,28,Normal
ext_131,1,5,14,0,13,Normal
ext_341,1,3,11,1,41,Normal
ext_719,1,4,11,0,33,Normal
ext_687,3,3,12,0,46,Normal
ext_355,4,1,5,1,38,Normal
ext_675,3,3,14,0,44,Normal
ext_810,1,4,6,0,13,Normal
ext_562,3,4,2,0,47,Normal
ext_826,2,16,198,1,176,Suspicious
ext_828,2,2,11,0,12,Normal
ext_911,3,4,0,0,40,Normal
ext_578,3,5,4,0,9,Normal
ext_507,1,4,16,1,31,Normal
ext_228,3,1,14,1,48,Normal
ext_231,4,5,20,0,13,Normal
ext_614,2,1,3,0,24,Normal
ext_265,3,2,11,0,10,Normal
ext_301,3,5,8,0,45,Normal
ext_729,2,5,20,0,42,Normal
ext_275,1,5,10,0,6,Normal
ext_146,4,5,8,0,41,Normal
ext_732,3,4,20,0,46,Normal
ext_594,1,4,9,1,9,Normal
ext_261,2,4,14,0,26,Normal
ext_420,3,3,11,1,13,Normal
ext_627,3,3,7,1,12,Normal
ext_560,4,1,1,0,29,Normal
ext_354,2,2,10,0,17,Normal
ext_610,1,4,15,0,36,Normal
ext_192,3,5,14,0,18,Normal
ext_149,4,15,355,1,267,Suspicious
ext_392,3,1,13,0,21,Normal
ext_882,2,1,12,0,41,Normal
ext_471,3,1,12,1,40,Normal
ext_945,4,5,3,0,11,Normal
ext_482,2,3,17,0,14,Normal
ext_716,2,5,1,0,7,Normal
ext_830,2,4,16,1,14,Normal
ext_435,3,3,5,1,44,Normal
ext_707,3,5,17,1,50,Normal
ext_586,3,3,10,0,31,Normal
ext_915,2,1,19,1,21,Normal
ext_838,4,15,137,1,234,Suspicious
ext_251,1,2,1,0,17,Normal
ext_551,4,2,13,0,31,Normal
ext_993,3,1,4,0,40,Normal
ext_778,3,4,10,0,34,Normal
ext_659,2,3,19,1,17,Normal
ext_385,2,2,9,0,50,Normal
ext_806,3,3,15,0,40,Normal
ext_394,2,5,12,1,27,Normal
ext_397,4,19,90,1,188,Suspicious
ext_771,3,4,6,0,39,Normal
ext_675,1,2,3,0,20,Normal
ext_785,1,2,20,0,8,Normal
ext_523,2,4,3,0,5,Normal
ext_516,3,4,15,0,23,Normal
ext_392,1,1,20,0,39,Normal
ext_279,2,2,1,1,36,Normal
ext_866,1,3,1,0,24,Normal
ext_443,4,5,16,1,13,Normal
ext_379,3,1,10,0,34,Normal
ext_835,4,3,9,0,16,Normal
ext_946,1,3,2,1,47,Normal
ext_289,3,4,10,0,5,Normal
ext_492,1,3,10,0,42,Normal
ext_367,3,2,1,0,34,Normal
ext_263,3,5,9,0,45,Normal
ext_476,4,2,4,1,14,Normal
ext_865,2,3,13,1,39,Normal
ext_880,3,5,2,1,38,Normal
ext_179,2,1,1,0,41,Normal
ext_268,2,5,14,0,48,Normal
ext_834,4,1,16,1,8,Normal
ext_235,4,4,18,0,40,Normal
ext_788,2,1,12,0,5,Normal
ext_692,1,14,226,1,279,Suspicious
ext_654,4,1,15,0,23,Normal
ext_284,4,4,11,1,33,Normal
ext_484,2,18,497,1,238,Suspicious
ext_769,2,1,5,1,38,Normal
ext_845,4,1,0,0,34,Normal
ext_644,2,2,7,1,27,Normal
ext_382,1,1,1,1,44,Normal
ext_346,1,1,19,0,33,Normal
ext_350,2,4,14,0,39,Normal
ext_872,3,1,4,0,19,Normal
ext_691,2,3,7,0,14,Normal
ext_523,4,1,17,0,45,Normal
ext_669,3,3,20,1,38,Normal
ext_813,4,2,9,1,16,Normal
ext_346,4,3,4,1,8,Normal
ext_526,2,2,12,0,21,Normal
ext_438,2,4,11,0,39,Normal
ext_152,2,5,19,0,9,Normal
ext_923,3,5,6,1,18,Normal
ext_410,4,1,6,0,12,Normal
ext_348,3,2,12,0,40,Normal
ext_894,3,4,17,0,24,Normal
ext_468,3,4,14,0,35,Normal
ext_308,1,4,1,0,14,Normal
ext_367,2,5,18,1,23,Normal
ext_300,3,4,18,0,36,Normal
ext_363,2,4,20,1,34,Normal
ext_850,1,2,4,1,16,Normal
ext_636,1,9,468,1,271,Suspicious
ext_882,2,10,481,1,261,Suspicious
ext_169,1,1,6,1,28,Normal
ext_732,1,5,15,1,6,Normal
ext_644,3,1,0,0,39,Normal
ext_117,2,4,5,0,11,Normal
ext_346,4,5,8,0,22,Normal
ext_180,2,4,14,0,49,Normal
ext_407,4,1,20,0,10,Normal
ext_488,2,4,1,0,49,Normal
ext_184,1,4,20,0,41,Normal
ext_640,1,2,6,1,22,Normal
ext_176,3,3,17,0,16,Normal
ext_116,3,5,4,1,9,Normal
ext_266,2,5,12,0,29,Normal
ext_909,1,1,16,0,8,Normal
ext_547,1,1,10,1,25,Normal
ext_749,4,4,15,0,27,Normal
ext_542,3,5,12,0,44,Normal
ext_917,4,1,2,0,14,Normal
ext_828,1,2,12,0,28,Normal
ext_193,3,12,277,1,192,Suspicious
ext_204,4,2,13,1,40,Normal
ext_205,3,13,333,1,123,Suspicious
ext_984,2,3,13,1,10,Normal
ext_685,3,4,5,0,22,Normal
ext_374,4,1,5,1,22,Normal
ext_406,4,1,11,0,20,Normal
ext_708,1,4,3,0,24,Normal
ext_505,3,5,12,0,33,Normal
ext_540,2,5,4,0,25,Normal
ext_590,4,4,10,0,49,Normal
ext_689,3,3,12,0,30,Normal
ext_216,1,2,18,0,48,Normal
ext_844,1,2,14,0,49,Normal
ext_938,3,4,15,0,45,Normal
ext_347,4,2,13,1,9,Normal
ext_712,1,4,17,1,39,Normal
ext_909,2,5,19,0,11,Normal
ext_773,4,2,20,0,41,Normal
ext_870,3,4,3,0,11,Normal
ext_327,3,5,17,0,33,Normal
ext_500,1,5,16,0,27,Normal
ext_594,3,4,2,0,14,Normal
ext_419,4,2,16,1,27,Normal
ext_199,1,4,10,0,24,Normal
ext_929,2,1,10,0,48,Normal
ext_858,4,2,17,0,26,Normal
ext_573,4,4,20,0,16,Normal
ext_505,4,17,151,1,215,Suspicious
ext_498,1,11,155,1,171,Suspicious
ext_691,2,5,5,0,25,Normal
ext_568,4,4,16,0,43,Normal
ext_725,2,1,11,0,34,Normal
ext_933,2,3,19,0,48,Normal
ext_420,2,3,3,0,28,Normal
ext_623,2,5,4,1,32,Normal
ext_598,3,2,17,0,36,Normal
ext_243,1,4,19,0,27,Normal
ext_596,4,4,17,1,31,Normal
ext_525,1,4,15,0,10,Normal
ext_914,3,3,1,0,19,Normal
ext_272,1,5,15,0,41,Normal
ext_374,2,3,17,0,33,Normal
ext_535,3,2,9,0,33,Normal
ext_456,2,1,14,0,20,Normal
ext_930,2,3,19,1,15,Normal
ext_903,3,2,1,0,39,Normal
ext_711,3,3,9,0,41,Normal
ext_978,3,1,4,1,8,Normal
ext_987,3,2,7,0,50,Normal
ext_948,3,4,15,0,41,Normal
ext_742,3,4,2,0,30,Normal
ext_811,1,3,14,1,25,Normal
ext_989,4,1,14,0,9,Normal
ext_323,3,2,15,0,25,Normal
ext_445,1,2,18,1,26,Normal
ext_147,1,20,478,1,217,Suspicious
ext_227,4,2,14,1,5,Normal
ext_307,3,2,20,0,15,Normal
ext_195,2,3,2,0,47,Normal
ext_153,1,3,7,1,46,Normal
ext_820,2,11,294,1,119,Suspicious
ext_707,3,4,0,0,49,Normal
ext_936,2,4,4,1,9,Normal
ext_492,3,20,102,1,126,Suspicious
ext_476,2,2,12,0,46,Normal
ext_170,3,1,19,0,33,Normal
ext_839,1,2,13,1,18,Normal
ext_202,4,1,18,1,27,Normal
ext_422,3,2,8,0,20,Normal
ext_897,2,1,9,0,38,Normal
ext_865,1,1,7,1,29,Normal
ext_346,3,5,2,0,28,Normal
ext_235,2,5,13,0,39,Normal
ext_881,3,1,0,0,5,Normal
ext_320,3,8,454,1,201,Suspicious
ext_743,2,4,13,1,10,Normal
ext_384,2,9,311,1,152,Suspicious
ext_649,4,5,20,0,24,Normal
ext_847,4,2,1,0,10,Normal
ext_218,2,5,1,0,47,Normal
ext_222,2,10,409,1,102,Suspicious
ext_608,3,5,16,0,15,Normal
ext_229,4,3,3,0,26,Normal
ext_378,4,3,18,0,36,Normal
ext_623,2,4,18,0,28,Normal
ext_361,1,5,3,0,37,Normal
ext_145,3,1,7,0,35,Normal
ext_492,3,2,1,1,19,Normal
ext_354,3,3,8,0,41,Normal
ext_222,1,1,5,0,38,Normal
ext_510,3,15,493,1,172,Suspicious
ext_435,2,15,54,1,194,Suspicious
ext_398,3,3,19,0,34,Normal
ext_705,1,2,17,0,14,Normal
ext_519,1,16,227,1,262,Suspicious
ext_443,3,18,242,1,288,Suspicious
ext_206,2,2,13,1,8,Normal
ext_828,3,1,7,1,49,Normal
ext_569,2,1,18,0,37,Normal
ext_752,2,1,18,0,32,Normal
ext_342,4,3,12,0,25,Normal
ext_378,1,2,4,0,14,Normal
ext_268,3,3,13,0,39,Normal
ext_888,1,3,14,0,12,Normal
ext_261,3,3,19,0,18,Normal
ext_251,1,11,232,1,201,Suspicious
ext_793,2,2,0,1,33,Normal
ext_196,2,2,3,0,8,Normal
ext_233,3,4,11,0,42,Normal
ext_932,4,9,151,1,265,Suspicious
ext_928,1,3,3,0,34,Normal
ext_272,4,4,12,1,6,Normal
ext_799,3,3,6,0,22,Normal
ext_556,3,1,19,0,46,Normal
ext_610,3,5,15,0,10,Normal
ext_492,1,2,20,0,45,Normal
ext_491,3,3,15,1,27,Normal
ext_497,3,1,10,0,6,Normal
ext_159,2,4,16,0,42,Normal
ext_263,4,2,8,0,19,Normal
ext_463,3,2,5,0,42,Normal
ext_925,3,3,18,0,50,Normal
ext_681,3,5,6,1,39,Normal
ext_279,2,1,1,0,43,Normal
ext_120,3,1,10,0,13,Normal
ext_834,2,3,1,0,14,Normal
ext_892,4,5,11,0,28,Normal
ext_700,4,3,10,0,15,Normal
ext_910,3,4,20,0,16,Normal
ext_328,3,2,12,0,49,Normal
ext_230,1,1,18,1,41,Normal
ext_286,2,5,7,0,36,Normal
ext_439,1,2,11,0,15,Normal
ext_941,2,3,14,0,21,Normal
ext_355,1,3,8,0,5,Normal
ext_495,4,4,5,1,36,Normal
ext_459,4,1,15,0,15,Normal
ext_175,3,1,9,0,25,Normal
ext_207,1,10,242,1,141,Suspicious
ext_660,1,1,10,1,50,Normal
ext_541,1,2,19,1,15,Normal
ext_203,3,2,13,0,47,Normal
ext_404,1,1,12,1,14,Normal
ext_469,4,9,200,1,269,Suspicious
ext_304,3,11,137,1,263,Suspicious
ext_183,4,1,9,1,35,Normal
ext_776,4,5,12,0,28,Normal
ext_478,3,1,8,1,34,Normal
ext_331,1,5,1,0,49,Normal
ext_187,1,5,13,0,40,Normal
ext_960,2,5,13,1,41,Normal
ext_587,4,4,1,0,12,Normal
ext_277,1,2,6,0,13,Normal
ext_533,2,18,272,1,151,Suspicious
ext_954,4,3,2,0,29,Normal
ext_665,4,3,16,1,5,Normal
ext_215,1,2,18,0,11,Normal
ext_904,4,5,11,1,21,Normal
ext_770,3,5,15,0,16,Normal
ext_512,3,5,12,0,30,Normal
ext_807,3,4,8,0,6,Normal
ext_937,1,3,8,1,49,Normal
ext_989,4,3,14,0,22,Normal
ext_719,4,2,14,0,31,Normal
ext_877,3,3,1,0,9,Normal
ext_826,2,2,16,0,16,Normal
ext_996,1,1,7,0,34,Normal
ext_469,4,3,11,1,37,Normal
ext_750,4,1,7,0,36,Normal
ext_281,2,4,18,0,27,Normal
ext_957,1,1,9,0,29,Normal
ext_266,2,2,7,0,48,Normal
ext_375,2,5,0,0,35,Normal
ext_762,3,1,7,0,43,Normal
ext_829,4,3,13,1,27,Normal
ext_358,1,3,16,1,42,Normal
ext_107,1,3,17,0,24,Normal
ext_593,3,12,377,1,183,Suspicious
ext_367,2,3,6,0,38,Normal
ext_158,2,5,12,0,48,Normal
ext_838,4,15,201,1,166,Suspicious
ext_514,2,1,18,0,26,Normal
ext_802,2,4,11,0,15,Normal
ext_400,2,10,429,1,166,Suspicious
ext_796,3,1,7,0,19,Normal
ext_530,3,3,11,0,42,Normal
ext_574,2,4,1,0,35,Normal
ext_612,1,4,16,0,31,Normal
ext_991,4,2,6,0,31,Normal
ext_246,2,2,2,1,26,Normal
ext_420,2,1,14,0,18,Normal
ext_690,4,4,2,0,44,Normal
ext_748,1,4,15,1,5,Normal
ext_646,2,3,0,0,38,Normal
ext_118,2,2,7,0,24,Normal
ext_205,1,5,9,0,9,Normal
ext_405,2,4,16,0,32,Normal
ext_450,4,4,11,0,15,Normal
ext_119,2,2,6,0,42,Normal
ext_226,1,1,12,0,39,Normal
ext_708,1,1,20,0,8,Normal
ext_526,2,1,17,0,35,Normal
ext_310,1,1,9,1,47,Normal
ext_778,1,5,19,0,31,Normal
ext_623,4,1,9,0,11,Normal
ext_303,4,3,16,0,27,Normal
ext_402,4,5,15,0,49,Normal
ext_438,4,1,2,0,41,Normal
ext_252,2,5,2,0,21,Normal
ext_567,1,3,8,1,8,Normal
ext_932,3,1,9,0,48,Normal
ext_536,2,1,1,0,13,Normal
ext_436,3,4,19,0,10,Normal
ext_934,3,1,12,1,34,Normal
ext_955,2,4,13,0,12,Normal
ext_812,4,2,3,1,42,Normal
ext_921,1,4,5,1,27,Normal
ext_983,4,2,15,1,12,Normal
ext_551,1,12,385,1,180,Suspicious
ext_821,3,5,18,0,47,Normal
ext_631,2,5,3,1,47,Normal
ext_593,2,4,4,0,5,Normal
ext_617,3,4,5,0,36,Normal
ext_346,4,3,1,0,40,Normal
ext_512,4,1,14,1,41,Normal
ext_190,1,4,10,0,36,Normal
ext_205,3,1,17,0,10,Normal
ext_620,2,4,10,0,8,Normal
ext_964,3,5,19,1,50,Normal
ext_833,3,1,7,0,26,Normal
ext_949,1,3,17,0,49,Normal
ext_146,3,4,4,1,11,Normal
ext_725,2,1,12,0,34,Normal
ext_833,4,4,1,0,33,Normal
ext_774,1,5,4,1,5,Normal
ext_666,2,5,15,0,49,Normal
ext_848,4,1,12,0,37,Normal
ext_528,3,2,8,1,26,Normal
ext_563,3,2,13,0,49,Normal
ext_828,2,5,20,0,17,Normal
ext_739,3,3,4,0,37,Normal
ext_827,4,3,17,1,42,Normal
ext_790,1,5,9,1,5,Normal
ext_125,2,1,1,0,22,Normal
ext_393,1,2,1,0,18,Normal
ext_467,4,1,19,0,46,Normal
ext_343,4,3,1,1,29,Normal
ext_907,3,3,17,0,5,Normal
ext_307,2,4,7,0,42,Normal
ext_894,1,2,9,1,16,Normal
ext_291,4,5,3,1,7,Normal
ext_385,3,2,5,0,5,Normal
ext_577,1,2,1,0,25,Normal
ext_892,3,5,9,1,41,Normal
ext_174,1,3,16,0,16,Normal
ext_905,3,4,17,1,10,Normal
ext_326,2,3,10,0,23,Normal
ext_870,3,4,17,0,12,Normal
ext_556,3,5,19,0,7,Normal
ext_490,3,1,12,0,39,Normal
ext_125,1,3,16,1,36,Normal
ext_403,2,2,10,0,11,Normal
ext_891,2,1,20,0,18,Normal
ext_985,1,1,6,1,46,Normal
ext_864,1,1,14,0,7,Normal
ext_175,1,20,178,1,242,Suspicious
ext_688,4,3,13,1,33,Normal
ext_543,1,4,3,0,46,Normal
ext_874,1,1,2,0,37,Normal
ext_396,4,3,19,0,23,Normal
ext_490,2,1,15,0,39,Normal
ext_239,3,5,9,0,24,Normal
ext_111,1,5,4,0,7,Normal
ext_686,2,5,17,0,24,Normal
ext_866,2,3,6,1,46,Normal
ext_264,2,5,8,0,12,Normal
ext_787,1,1,17,1,46,Normal
ext_397,4,3,3,0,42,Normal
ext_438,1,2,3,0,44,Normal
ext_298,2,4,10,0,49,Normal
ext_679,3,3,13,0,5,Normal
ext_352,3,4,8,0,13,Normal
ext_998,1,4,11,0,36,Normal
ext_279,2,1,8,0,39,Normal
ext_369,1,1,2,0,37,Normal
ext_932,3,4,18,0,7,Normal
ext_656,4,5,15,0,28,Normal
ext_328,1,5,9,0,34,Normal
ext_506,2,1,7,0,37,Normal
ext_556,3,5,18,0,35,Normal
ext_141,3,4,7,0,21,Normal
ext_339,4,11,315,1,192,Suspicious
ext_580,3,1,1,0,11,Normal
ext_954,4,5,17,0,29,Normal
ext_474,2,1,16,0,29,Normal
ext_628,1,3,15,1,43,Normal
ext_613,3,4,5,0,9,Normal
ext_316,2,2,11,0,47,Normal
ext_524,2,1,15,1,35,Normal
ext_704,2,4,0,0,7,Normal
ext_687,2,2,20,0,41,Normal
ext_157,1,2,16,1,43,Normal
ext_999,4,3,2,0,33,Normal
ext_988,2,2,13,0,42,Normal
ext_738,1,3,5,0,34,Normal
ext_335,4,2,3,0,17,Normal
ext_946,1,1,5,1,44,Normal
ext_998,2,5,3,0,35,Normal
ext_717,4,1,20,1,38,Normal
ext_479,4,5,13,0,35,Normal
ext_458,3,5,3,1,13,Normal
ext_588,2,1,9,1,21,Normal
ext_105,1,1,18,0,38,Normal
ext_484,2,3,13,0,11,Normal
ext_536,3,3,8,1,41,Normal
ext_726,4,4,6,1,40,Normal
ext_283,3,5,15,0,24,Normal
ext_892,2,2,3,0,33,Normal
ext_202,4,4,10,0,15,Normal
ext_751,4,9,471,1,137,Suspicious
ext_714,1,1,8,0,28,Normal
ext_723,3,14,255,1,257,Suspicious
ext_828,1,1,5,1,33,Normal
ext_306,2,5,9,0,7,Normal
ext_729,1,1,11,0,46,Normal
ext_261,3,12,449,1,202,Suspicious
ext_785,1,5,6,0,50,Normal
ext_192,3,5,18,0,27,Normal
ext_331,1,2,14,1,41,Normal
ext_367,3,5,3,0,37,Normal
ext_448,4,5,8,0,49,Normal
ext_486,4,2,10,1,48,Normal
ext_700,4,4,3,0,9,Normal
ext_748,3,2,7,0,31,Normal
ext_628,4,3,7,0,10,Normal
ext_789,3,3,2,0,35,Normal
ext_462,2,5,8,0,48,Normal
